証券コード,企業名,業種,時価総額（億円）,配当利回り(%),PER,過去3年EPS年平均増減率(%),最新年度真FCF利回り(%),1年前真FCF利回り(%),2年前真FCF利回り(%),3年前真FCF利回り(%),3年間平均真FCF利回り(%),最新年度営業CF利回り(%),1年前営業CF利回り(%),2年前営業CF利回り(%),3年前営業CF利回り(%),3年間平均営業CF利回り(%),3年間平均CF設備投資率(%),最新年度営業利益率(%),1年前営業利益率(%),2年前営業利益率(%),3年前営業利益率(%),最新年度売上高増加率(%),1年前売上高増加率(%),2年前売上高増加率(%),ROIC(%),参考ROIC（現預金控除後）(%),1年前ROIC(%),2年前ROIC(%),3年前ROIC(%),自己資本比率(%),粗利率(%),現預金等（円）
3925,Double Standard Inc.,Technology,175.3,5.51,15.82,,4.27,10.0,5.88,7.92,6.72,4.42,11.38,8.19,8.21,8.0,14.58,24.56,32.58,32.31,30.69,-12.37,11.94,3.42,17.58,84.31,27.88,29.2,33.1,,41.07,5286741000.0
3926,OpenDoor Inc.,Communication Services,146.69,0.0,77.54,,-0.42,-0.17,-2.39,-0.15,-0.99,-0.08,-0.03,-2.13,-0.05,-0.75,-281.82,-1.84,-4.24,-7.08,-2.54,2.02,-6.09,24.6,-1.38,-3.6,-2.8,-3.66,-24.22,,62.93,2141941000.0
3927,Fuva Brain Limited,Technology,47.47,1.79,15.64,,4.53,-0.57,4.28,0.55,2.75,7.4,-0.3,4.39,0.76,3.83,-15.48,3.61,4.29,0.73,2.51,29.0,42.19,31.52,3.84,12.11,9.12,1.71,2.34,78.96,27.64,2103902000.0
3928,Mynet Inc.,Communication Services,22.81,0.0,2.87,,20.89,5.54,8.61,-12.15,11.68,35.22,14.42,10.96,-6.52,20.2,41.23,5.01,4.84,1.93,-3.79,-15.46,1.47,-17.31,7.79,22.05,10.56,26.81,-13.91,39.64,44.86,2372984000.0
3929,"Socialwire Co., Ltd.",Communication Services,28.22,0.0,12.72,,-2.68,-3.05,-1.84,-9.44,-2.52,10.37,5.62,4.48,3.54,6.82,140.38,6.47,4.71,-0.08,-4.44,20.92,-20.82,-23.06,9.28,18.03,8.79,-0.69,-10.5,60.79,59.55,1268755000.0
3930,"Hatena Co., Ltd.",Communication Services,23.21,0.0,16.67,,-0.09,-4.83,9.77,,1.62,6.33,0.11,14.1,,6.85,1524.68,,2.06,5.5,10.61,,5.05,2.84,,,1.85,4.25,,88.01,86.15,1520036000.0
3931,VALUE GOLF Inc.,Communication Services,27.08,1.67,12.65,,-18.36,-2.23,-0.8,0.02,-7.13,-17.35,-1.23,0.32,0.37,-6.09,87.62,1.2,2.18,1.69,5.34,7.25,12.89,-17.72,1.88,2.7,0.59,1.31,8.33,40.16,35.05,757102000.0
3932,Akatsuki Inc.,Communication Services,431.96,3.51,9.16,,4.86,7.63,-0.75,10.71,3.91,6.23,8.42,-0.19,11.68,4.82,-85.15,28.79,16.56,11.17,23.43,9.32,-1.33,-1.5,8.88,19.14,2.96,3.3,4.14,52.71,54.26,30555000000.0
3933,"CHIeru Co.,Ltd.",Technology,40.56,4.21,6.16,,54.48,-10.14,-9.22,-1.56,11.71,57.35,-4.79,-0.63,3.61,17.31,-492.4,10.46,9.83,12.81,16.0,48.27,49.23,19.52,12.77,80.37,8.71,13.96,15.82,61.47,44.21,4544958000.0
3934,"BENEFIT JAPAN Co., Ltd.",Communication Services,136.19,4.28,13.62,,-3.53,8.13,6.67,0.25,3.76,-2.44,8.88,7.08,2.32,4.51,-10.17,8.06,9.58,6.79,8.15,44.32,-2.46,4.05,9.19,13.63,8.31,6.78,7.38,79.81,56.91,3505834000.0
3935,"Edia Co., Ltd.",Communication Services,41.08,2.38,9.89,,6.1,5.45,5.0,1.25,5.52,6.27,6.01,5.7,1.33,5.99,8.08,9.54,7.29,4.93,5.58,29.18,10.05,18.71,24.39,67.55,11.78,8.42,13.13,83.69,59.68,1335683000.0
3936,"Globalway, Inc.",Technology,47.53,0.0,24.67,,6.08,-11.42,-10.96,-14.49,-5.43,6.34,-11.42,-10.64,-13.38,-5.24,0.35,7.65,-8.5,-15.49,-26.22,30.69,25.06,40.46,28.98,99.74,-27.48,-34.57,-38.98,93.64,59.52,744713000.0
3937,"Ubicom Holdings, Inc.",Technology,141.84,2.2,15.89,,6.2,6.22,4.26,5.43,5.56,6.94,6.56,5.12,5.79,6.21,10.92,21.76,20.75,18.04,19.28,-5.49,6.7,13.27,14.53,87.36,14.28,12.55,14.75,89.73,42.24,5166446000.0
3939,"Kanamic Network Co.,LTD",Healthcare,233.96,1.86,18.52,,3.91,4.93,3.37,2.05,4.07,5.53,6.47,6.11,3.43,6.04,32.65,29.21,28.74,29.26,38.47,9.85,33.66,49.69,21.11,57.74,20.56,17.06,11.68,,64.29,3327111000.0
3940,"Nomura System Corporation Co, Ltd.",Technology,59.49,2.77,16.71,,6.05,6.93,5.86,6.88,6.28,6.25,7.06,5.88,7.49,6.4,1.82,17.66,15.71,15.76,13.05,1.4,11.17,9.28,11.29,48.2,11.27,11.13,8.55,,28.46,2700032000.0
3941,"Rengo Co., Ltd.",Consumer Cyclical,3645.11,3.33,17.93,,-3.48,-5.84,6.75,0.51,-0.86,21.44,21.13,24.59,12.64,22.39,105.48,3.68,3.77,5.42,3.07,1.52,10.26,6.47,2.16,2.39,3.0,3.93,2.37,52.07,18.65,92217000000.0
3943,"Ohishi Sangyo Co., Ltd.",Consumer Cyclical,104.08,3.97,14.36,,-2.82,3.61,4.67,0.96,1.82,22.02,20.75,17.91,11.91,20.23,89.77,3.05,3.85,4.94,5.16,0.01,6.92,0.81,2.3,3.42,3.36,4.11,4.82,97.94,18.9,6539000000.0
3944,"Furubayashi Shiko Co.,Ltd.",Consumer Cyclical,36.13,1.56,12.32,,18.58,-21.23,-7.59,33.22,-3.41,29.32,10.87,18.15,41.73,19.45,157.91,2.42,1.04,3.3,2.75,-1.31,1.06,5.0,2.14,2.48,0.99,3.66,3.21,77.95,16.57,1771614000.0
3945,"Superbag Company, Limited",Basic Materials,32.08,5.09,4.01,,-2.84,24.97,32.48,1.87,18.2,-2.84,24.97,32.48,1.87,18.2,0.0,2.7,3.28,3.86,1.8,2.11,2.76,6.27,7.19,9.03,11.22,10.9,6.92,66.77,19.42,1619000000.0
3946,"Tomoku Co., Ltd.",Consumer Cyclical,710.61,3.97,9.63,,7.48,10.91,5.67,-3.48,8.02,21.35,25.53,15.64,9.87,20.84,61.99,5.08,4.26,3.81,3.5,2.04,3.82,-0.61,4.4,5.11,4.03,3.08,3.36,59.91,18.12,23959000000.0
3947,"Dynapac Co., Ltd.",Consumer Cyclical,239.43,7.21,7.35,,13.25,-4.61,10.18,4.77,6.27,21.33,4.49,24.15,12.8,16.66,99.47,4.3,2.74,3.33,2.38,7.28,7.76,2.18,3.45,3.8,2.34,3.0,3.37,85.52,20.42,5100333000.0
3948,"Hikari Business Form Co., Ltd.",Industrials,63.1,4.27,17.32,,0.89,1.97,6.05,23.86,2.97,4.08,3.56,7.47,25.17,5.04,47.26,2.61,2.26,12.86,16.41,-2.17,-19.86,-17.66,1.22,1.86,1.14,8.96,14.53,83.18,21.32,3307864000.0
3950,The Pack Corporation,Consumer Cyclical,788.8,2.89,14.44,,3.69,1.79,-3.6,2.33,0.63,8.7,9.0,5.63,6.82,7.78,100.53,6.99,7.89,7.93,6.71,1.64,3.83,9.72,6.33,9.54,7.41,7.74,6.24,99.5,24.68,26061000000.0
3951,"Asahi Printing Co.,Ltd.",Consumer Cyclical,187.87,4.2,12.05,,1.8,2.11,3.46,10.38,2.46,17.08,24.11,18.89,24.35,20.03,87.47,3.64,4.72,4.85,5.61,1.59,4.95,3.89,2.3,2.65,2.72,2.74,3.11,64.98,21.8,6927000000.0
3953,"Ohmura Shigyo Co.,Ltd.",Consumer Cyclical,27.78,3.85,7.59,,-7.54,-8.39,15.01,3.23,-0.31,-3.38,-5.35,22.82,11.48,4.7,-48.67,5.93,4.65,5.96,4.96,0.24,3.53,5.76,6.77,11.89,19.19,4.49,1.2,96.59,27.39,2310657000.0
3954,Showa Paxxs Corporation,Consumer Cyclical,128.71,1.71,10.03,,8.48,7.28,1.98,-0.24,5.91,16.2,15.34,7.71,6.01,13.08,58.17,6.93,5.91,4.72,5.01,1.06,7.69,-2.81,4.08,6.23,4.0,2.89,3.84,95.03,18.72,9644589000.0
3955,"IMURA & Co.,Ltd.",Basic Materials,83.29,3.46,8.76,,-29.46,-1.87,5.5,-6.5,-8.61,12.39,20.5,23.63,9.69,18.84,174.55,5.23,6.26,6.27,6.56,4.43,0.17,-3.99,3.2,3.62,4.27,5.37,6.32,76.59,25.89,2669000000.0
3958,"Sasatoku Printing Co.,Ltd.",Industrials,29.54,3.69,15.5,,-1.58,24.61,35.28,,19.44,7.78,35.58,39.28,,27.55,53.79,,2.92,2.79,2.74,,-0.67,5.39,,,3.04,3.32,,86.0,19.23,1742918000.0
3962,"CHANGE Holdings,Inc.",Technology,688.1,2.72,9.93,,9.23,9.92,14.31,-6.29,11.15,10.54,11.39,17.54,-1.66,13.16,14.59,20.99,26.86,25.86,28.72,13.88,25.32,84.88,9.69,14.95,10.59,9.25,10.06,65.96,54.58,26189000000.0
3963,"Synchro Food Co., Ltd.",Industrials,92.54,4.63,34.3,,10.0,4.72,7.8,8.99,7.51,10.0,4.74,8.02,9.19,7.59,1.09,12.06,27.77,28.82,29.91,40.25,9.68,22.95,3.46,6.22,14.69,16.44,17.82,54.96,63.17,3755756000.0
3964,Aucnet Inc.,Consumer Cyclical,1156.69,3.52,16.52,,9.55,3.02,3.74,3.28,5.44,11.02,4.2,4.42,3.91,6.55,18.87,14.84,12.53,15.39,16.32,14.72,29.11,7.04,24.39,198.18,17.85,19.46,19.8,,42.09,23104387000.0
3965,"Capital Asset Planning, Inc.",Technology,51.13,3.5,9.46,,6.43,-8.4,17.21,-9.0,5.08,8.5,-5.54,23.79,-3.56,8.92,0.18,5.48,3.64,4.03,-3.86,18.47,1.64,19.26,7.47,11.32,4.12,5.03,-4.4,75.1,21.9,1768686000.0
3967,"Eltes Co.,Ltd.",Technology,35.31,0.0,,,-6.9,2.4,-5.24,16.03,-3.25,-0.42,16.65,-0.0,20.25,5.41,-81548.3,4.82,1.28,2.79,4.32,22.44,11.96,39.48,-15.25,-22.72,1.92,9.53,1.28,36.0,35.56,1826515000.0
3968,"Segue Group Co., Ltd.",Technology,233.32,2.93,10.17,,-13.16,6.82,5.49,4.42,-0.28,-12.04,7.52,6.8,4.82,0.76,6.43,7.4,3.85,6.23,6.65,33.96,7.31,28.04,14.82,21.52,6.38,14.37,12.13,86.18,23.65,2535199000.0
3969,ATLED CORP.,Technology,105.42,2.57,14.71,,7.47,6.59,6.0,4.58,6.69,12.65,10.9,10.27,7.87,11.27,40.67,36.17,38.25,41.98,46.1,4.93,10.6,15.42,12.54,67.97,14.14,15.44,16.5,,64.18,4575155000.0
3970,Innovation Inc.,Technology,22.47,4.76,36.51,,-3.11,-1.66,12.25,-0.03,2.49,14.01,3.25,15.36,5.04,10.87,97.81,-3.57,6.58,8.3,7.51,30.4,11.03,5.3,-5.36,-15.06,1.27,5.64,1.36,93.6,50.23,3423927000.0
3974,SCAT Inc.,Technology,21.14,2.24,15.22,,3.94,4.22,11.61,6.49,6.59,13.37,10.89,16.07,11.98,13.44,53.15,7.41,5.7,8.31,8.66,0.4,-5.38,5.98,5.97,14.05,4.38,7.11,5.29,96.8,39.74,1240234000.0
3976,SHANON Inc.,Technology,35.08,0.0,,,2.31,-10.12,-7.13,-0.34,-4.98,6.46,-4.24,-0.11,5.24,0.7,-2118.08,-1.61,-8.94,-13.35,0.52,9.28,19.47,11.84,-4.12,-9.61,-24.05,-35.8,1.91,95.58,60.24,763133000.0
3979,"Uluru.Co.,Ltd.",Technology,124.75,0.96,17.08,,8.98,1.09,8.83,0.34,6.3,12.0,5.23,11.82,2.64,9.68,43.18,12.03,11.38,22.3,0.18,15.68,12.86,22.12,17.96,,15.75,27.45,-3.17,86.85,71.76,4580759000.0
3981,Beaglee Inc.,Communication Services,68.3,3.69,10.42,,18.55,31.66,24.69,31.25,24.97,22.54,34.28,27.23,34.84,28.02,11.56,8.18,9.69,7.85,9.38,-9.36,-3.32,1.96,6.14,11.1,10.98,5.6,6.14,74.29,34.13,5293996000.0
3983,"oRo Co., Ltd.",Technology,287.91,2.69,13.82,,6.6,8.16,8.41,4.87,7.72,7.01,8.65,8.74,5.57,8.13,5.07,31.89,34.44,36.22,36.82,5.17,12.32,13.24,17.19,862.56,18.57,19.26,20.29,93.02,65.68,10775741000.0
3984,"User Local, Inc.",Technology,241.72,1.96,15.09,,6.4,6.32,5.34,3.6,6.02,7.47,6.39,5.43,3.77,6.43,5.75,43.03,44.22,41.73,38.18,17.26,18.82,22.55,16.42,931.02,15.42,16.43,13.13,,89.91,8545796000.0
3985,TEMONA.inc.,Communication Services,20.76,0.0,-14.7,,8.6,-4.25,3.91,-14.59,2.75,10.79,1.42,11.07,-6.18,7.76,161.08,8.51,-3.08,-3.58,-8.68,0.36,-22.0,3.87,4.96,29.66,-5.45,-4.41,-9.14,78.08,53.28,1231502000.0
3986,"bBreak Systems Company, Limited",Technology,21.5,3.4,21.01,,8.22,7.44,9.07,,8.24,11.15,7.44,9.07,,9.22,8.77,,10.93,12.79,12.16,,0.89,9.18,,,6.68,8.92,8.14,,45.24,0.0
3987,Ecomott Inc.,Technology,32.55,0.0,,,-13.22,-4.07,-6.54,0.95,-7.94,-9.08,0.35,-5.53,2.58,-4.75,398.49,1.65,0.28,-3.44,0.88,11.56,-0.84,22.48,20.94,25.65,0.58,-6.12,1.09,77.1,35.62,333366000.0
3988,"SYS Holdings Co., Ltd.",Technology,59.26,1.42,14.62,,6.0,10.14,6.54,4.31,7.56,9.53,12.17,7.37,5.12,9.69,21.63,5.02,5.52,4.95,5.75,13.34,17.86,38.84,7.5,35.28,9.42,7.23,9.6,70.97,22.15,4474969000.0
3989,"Sharingtechnology, Inc.",Communication Services,369.5,4.37,25.0,,4.41,6.11,3.97,1.91,4.83,5.36,6.15,3.99,1.96,5.17,6.32,24.17,23.86,19.92,9.07,14.35,20.46,40.63,26.33,6004.3,38.02,58.96,36.05,94.89,91.5,5444386000.0
3991,"Wantedly, Inc.",Communication Services,90.89,2.09,10.68,,22.48,11.08,9.34,13.22,14.3,22.71,11.26,9.51,13.41,14.49,1.48,33.51,33.76,33.49,27.83,3.95,-0.51,5.53,21.83,,26.12,32.12,36.58,,33.51,6237144000.0
3992,Needs Well Inc.,Technology,179.08,2.59,22.31,,4.21,2.24,5.29,2.24,3.91,4.44,2.5,5.47,2.44,4.14,6.23,11.52,12.41,12.56,10.26,5.07,8.99,30.18,16.13,38.04,18.72,21.63,13.33,99.49,22.71,2760544000.0
3993,PKSHA Technology Inc.,Technology,987.14,0.32,40.61,,4.3,2.22,2.41,2.12,2.98,5.24,3.05,3.13,2.73,3.81,22.76,24.29,19.0,5.54,13.6,28.88,21.46,20.84,7.03,12.55,5.61,-0.16,2.75,82.48,49.81,19387418000.0
3994,"Money Forward, Inc.",Technology,3530.35,0.0,81.17,,-2.15,-3.15,-0.83,-2.38,-2.04,0.42,-1.35,0.7,-1.17,-0.08,230.93,-5.27,-11.73,-20.83,-39.43,24.74,32.86,41.46,-2.2,-5.9,-7.14,-10.87,-17.25,54.91,67.99,48795657000.0
3996,Signpost Corporation,Technology,25.73,0.0,33.78,,4.36,12.14,1.38,-7.19,5.96,4.39,12.31,1.91,-7.17,6.2,9.96,3.14,6.62,3.47,-4.3,3.81,3.2,13.81,3.43,14.4,11.31,8.62,-6.18,80.22,32.08,1807340000.0
3997,"TRADE WORKS Co., Ltd",Technology,163.33,0.52,107.18,,-1.06,-0.83,-1.33,2.39,-1.07,1.91,1.7,-1.27,2.45,0.78,99.8,5.14,-1.2,0.83,9.74,10.04,22.32,14.76,3.15,4.77,-3.91,1.44,14.57,83.64,24.66,973074000.0
3998,"SuRaLa Net Co.,Ltd.",Consumer Defensive,18.42,0.0,4.88,,-13.28,-2.3,2.65,9.39,-4.31,13.01,20.24,25.81,29.45,19.69,134.41,3.4,10.86,18.05,22.14,-0.82,-9.22,-0.09,0.63,0.97,4.3,13.25,15.91,81.47,61.14,767888000.0
4004,Resonac Holdings Corporation,Basic Materials,25496.62,0.45,46.09,,0.92,2.95,1.3,0.45,1.72,5.11,6.42,4.66,3.9,5.4,69.32,3.46,6.4,-0.73,4.43,-3.19,7.42,-6.98,1.96,2.38,4.74,-0.28,3.03,45.7,24.04,294022000000.0
4005,"Sumitomo Chemical Company, Limited",Basic Materials,9184.41,2.86,14.97,,12.32,11.17,-22.23,-3.48,0.42,25.56,25.37,-5.59,12.15,15.11,-63.38,8.38,6.61,-17.63,-0.84,-10.66,6.51,-15.49,8.98,10.18,5.79,-17.16,186.4,55.51,28.7,256140000000.0
4008,"Sumitomo Seika Chemicals Company, Limited.",Basic Materials,918.92,4.91,12.21,,4.59,-8.05,2.22,-0.14,-0.41,19.02,14.89,13.07,7.29,15.66,104.33,9.75,7.26,6.67,7.31,0.53,3.21,-0.04,7.85,9.25,6.81,6.33,8.09,81.3,23.89,18217000000.0
4011,"Headwaters Co.,Ltd",Technology,146.2,0.0,35.67,,-0.42,0.81,0.49,0.3,0.29,-0.26,0.99,0.6,0.58,0.44,-7.38,5.88,10.6,4.1,6.99,34.21,25.52,47.03,4.18,5.19,18.42,7.17,8.83,68.18,44.43,625145000.0
4012,"Axis Co.,Ltd.",Technology,73.3,3.4,10.14,,8.1,7.53,5.96,6.09,7.2,8.49,7.6,6.52,6.46,7.54,4.7,10.92,10.63,9.92,10.7,9.41,12.97,33.81,15.28,96.47,15.62,15.14,14.6,,25.05,3430613000.0
4013,"Kinjiro Co.,Ltd.",Technology,126.85,1.57,12.85,,9.51,1.66,3.12,-41.85,4.76,17.35,9.11,11.56,3.24,12.67,66.66,28.33,16.68,14.58,12.51,22.71,11.55,10.47,8.34,14.18,4.15,3.27,2.68,86.01,68.06,4994739000.0
4014,"Karadanote, Inc.",Technology,31.43,0.0,35.66,,-3.51,-8.22,-11.11,,-7.61,-3.42,-8.13,-11.04,,-7.53,-1.5,,4.59,-11.58,-15.71,,6.69,57.45,,,18.64,-21.04,,83.38,72.03,483476000.0
4015,Paycloud Holdings Inc.,Technology,78.65,0.0,122.3,,14.18,12.59,5.48,-5.18,10.75,17.91,14.8,7.14,-2.77,13.28,19.69,7.15,4.93,3.65,-13.78,49.33,53.1,284.08,4.24,13.86,1.28,4.03,-4.88,73.59,39.13,4373643000.0
4016,"MIT Holdings Co., Ltd.",Technology,21.53,2.81,29.61,,11.39,13.33,4.03,0.13,9.58,14.31,16.48,10.9,8.24,13.9,34.17,3.31,3.77,1.76,2.76,-2.34,9.49,9.84,6.82,15.65,7.37,2.3,3.93,56.96,21.45,817506000.0
4017,Creema Ltd.,Consumer Cyclical,14.29,0.0,52.09,,34.07,1.55,7.89,-30.65,14.5,38.16,1.6,7.93,-22.44,15.9,4.8,1.68,4.11,1.65,-15.43,1.12,-0.08,0.36,1.16,,7.09,3.13,-29.85,77.03,79.68,3015082000.0
4019,"Stmn, Inc.",Technology,54.71,3.27,18.71,,-0.82,6.39,3.31,0.44,2.96,0.02,7.16,3.69,2.98,3.62,1589.29,7.63,8.34,8.77,10.12,41.79,43.29,44.44,12.45,38.88,10.06,10.28,9.45,95.97,73.39,1105781000.0
4020,Betrend Corporation,Technology,17.68,0.0,,,-8.32,4.01,-0.39,9.33,-1.57,0.98,8.0,2.58,11.8,3.85,372.79,-7.06,6.93,9.07,13.52,0.32,5.92,0.22,-13.18,-32.9,6.43,8.04,12.77,,46.96,467438000.0
4021,Nissan Chemical Corporation,Basic Materials,10450.42,2.69,21.29,,4.17,3.91,1.22,1.44,3.1,6.14,5.66,3.22,3.37,5.01,41.8,22.73,22.61,21.26,22.93,11.23,10.88,-0.6,16.58,18.88,14.99,13.25,15.57,85.2,46.83,35729000000.0
4022,"Rasa Industries, Ltd.",Basic Materials,699.59,1.97,16.04,,2.54,4.53,5.7,1.61,4.26,8.79,7.2,7.11,2.92,7.7,42.68,12.6,10.43,8.39,9.32,5.08,6.15,-13.73,10.76,12.27,8.89,7.33,9.23,81.8,22.96,4823000000.0
4023,Kureha Corporation,Basic Materials,1668.35,4.99,23.21,,-8.58,-12.65,5.1,9.59,-5.38,17.7,6.95,13.63,17.13,12.76,164.32,-12.23,5.83,7.55,10.99,-0.2,-8.97,-6.96,-4.0,-4.47,2.52,3.49,6.55,58.12,28.17,29732000000.0
4025,"Taki Chemical Co., Ltd.",Basic Materials,451.59,1.89,12.08,,5.12,9.62,3.59,3.2,6.11,5.12,9.62,3.59,3.2,6.11,0.0,7.54,6.86,2.62,7.68,7.87,11.66,-2.77,5.43,6.53,4.85,1.79,5.59,97.56,24.4,7365000000.0
4026,"Konoshima Chemical Co.,Ltd.",Industrials,140.03,3.33,7.6,,1.11,13.31,-16.06,-16.85,-0.55,22.54,22.07,23.87,12.98,22.83,100.7,9.58,6.54,8.17,9.06,2.2,5.51,8.29,8.23,8.67,7.0,7.72,8.51,35.51,28.94,1204000000.0
4027,Tayca Corporation,Basic Materials,517.87,3.42,10.74,,-2.77,-4.4,2.63,-4.07,-1.51,8.77,9.76,9.61,1.12,9.38,116.44,3.79,6.33,4.39,7.71,2.94,5.18,-3.25,2.58,3.04,3.47,2.47,4.99,84.54,15.68,11273000000.0
4028,"Ishihara Sangyo Kaisha,Ltd.",Basic Materials,1100.88,4.51,6.62,,15.68,16.65,-2.55,-5.47,9.93,15.68,16.65,-2.55,-5.47,9.93,0.0,12.32,7.22,8.3,6.58,6.68,4.87,5.5,7.92,9.3,4.52,5.63,4.23,65.59,32.06,29424000000.0
402A,Axelspace Holdings Corporation,Industrials,340.75,0.0,,,-20.44,-13.0,-8.1,-3.73,-13.85,-15.04,-12.7,-7.57,-3.61,-11.77,-15.08,-152.41,-157.23,-120.25,-132.1,58.07,-24.82,60.68,-31.22,-59.38,-29.88,-43.48,-67.81,57.03,31.79,5815658000.0
4031,Katakura & Co-op Agri Corporation,Basic Materials,96.26,2.59,,,13.96,-24.26,-10.45,-25.35,-6.92,54.79,1.58,15.75,-12.56,24.04,625.69,1.18,1.57,-2.07,6.97,3.1,0.33,-19.2,0.98,1.05,0.95,-1.81,7.09,59.65,15.25,2655000000.0
4040,"Nankai Chemical Company,Limited",Basic Materials,76.33,1.72,2.78,,-20.08,-24.39,7.47,1.72,-12.33,-3.39,2.37,34.77,23.18,11.25,238.45,8.07,6.25,7.83,4.06,0.78,4.57,1.97,8.11,9.46,7.48,9.12,5.47,77.41,28.39,2040000000.0
4041,"Nippon Soda Co., Ltd.",Basic Materials,2039.61,4.16,11.31,,3.42,1.71,-2.79,1.47,0.78,10.59,11.1,2.81,7.64,8.17,117.22,9.84,10.35,8.98,9.78,-2.0,0.5,-10.64,4.32,4.77,5.06,4.58,5.86,79.19,29.61,24626000000.0
4042,Tosoh Corporation,Basic Materials,7823.5,3.9,19.19,,14.64,13.58,14.95,-2.08,14.39,14.64,13.58,14.95,-2.08,14.39,0.0,9.37,9.3,7.94,7.01,-4.09,5.74,-5.52,5.79,7.43,6.93,5.85,5.62,76.7,25.59,233472000000.0
4043,Tokuyama Corporation,Basic Materials,2891.48,3.54,13.02,,7.56,10.3,8.38,-15.12,8.75,17.63,18.11,19.31,-4.08,18.35,52.28,9.55,8.74,7.5,4.08,1.87,0.32,-2.79,4.71,5.28,6.09,4.95,2.54,64.71,35.75,47193000000.0
4044,"Central Glass Co., Ltd.",Basic Materials,1053.69,4.0,12.59,,16.19,17.08,14.37,9.72,15.88,25.09,22.39,21.1,15.75,22.86,30.37,6.94,7.37,9.06,9.9,0.17,-10.04,-5.3,5.02,6.03,4.52,6.97,9.67,82.17,26.7,25697000000.0
4045,"Toagosei Co., Ltd.",Basic Materials,1898.49,4.02,14.73,,-4.81,-1.27,5.26,-4.9,-0.27,11.74,10.63,11.4,5.79,11.26,102.27,8.74,8.49,7.84,8.94,-3.15,5.16,-0.9,4.46,5.15,4.6,4.02,4.88,91.49,29.04,31518000000.0
4046,"Osaka Soda Co., Ltd.",Basic Materials,2394.33,1.52,16.01,,5.21,3.96,1.35,1.77,3.51,8.3,7.12,3.59,3.91,6.34,47.97,17.64,13.74,11.1,14.93,3.66,1.99,-9.26,9.4,14.75,7.58,5.99,9.56,94.43,33.74,48801000000.0
4047,"Kanto Denka Kogyo Co., Ltd.",Basic Materials,1188.37,1.69,31.39,,-1.07,-2.06,0.2,-7.16,-0.98,6.13,11.01,9.43,6.14,8.86,111.32,8.38,6.85,-3.04,16.46,4.89,-3.73,-17.68,3.24,3.96,2.81,-1.55,8.77,65.08,24.21,20220000000.0
4051,"GMO Financial Gate, Inc.",Technology,491.27,2.14,29.91,,0.76,2.33,0.75,-1.46,1.28,2.5,3.49,1.76,-0.43,2.58,53.44,12.44,8.19,7.13,7.19,-4.16,17.58,54.53,19.54,40.47,14.27,12.76,10.64,62.08,36.86,4270203000.0
4052,Ficha Inc.,Technology,54.85,0.0,76.26,,-0.51,-0.32,0.21,,-0.21,-0.34,0.03,0.3,,-0.0,435.36,,-0.72,-5.95,6.71,,26.82,1.83,,,-1.73,-4.57,,,71.02,578443000.0
4053,Sun* Inc.,Technology,179.53,2.22,37.92,,7.18,5.2,9.96,3.51,7.45,7.54,5.63,10.49,4.49,7.89,5.79,7.1,10.64,14.18,8.39,9.34,8.41,16.48,4.44,29.44,9.0,13.9,8.62,72.24,48.46,10560000000.0
4054,"Japan PropTech Co.,Ltd.",Technology,71.85,2.51,12.55,,1.82,-0.46,0.4,,0.59,8.92,3.88,4.76,,5.85,94.32,,15.99,8.74,16.4,,17.68,23.47,,,13.27,4.79,,99.95,65.4,961024000.0
4055,T&S Group Inc.,Technology,122.28,0.68,22.61,,6.2,3.03,3.13,2.21,4.12,6.21,3.05,3.17,2.23,4.14,0.73,18.43,18.69,18.97,15.11,19.18,5.71,19.18,17.54,163.17,19.31,20.09,16.73,,30.19,2599838000.0
4056,Neural Group Inc.,Technology,35.76,0.0,0.49,,4.18,5.31,-12.74,-12.74,-1.08,4.2,5.44,-10.82,-8.9,-0.39,-4.91,-0.2,1.0,-20.73,-10.84,-7.45,12.16,10.4,-0.36,-0.86,-7.65,-20.0,-8.95,41.47,65.03,2217012000.0
4057,"Interfactory, Inc.",Communication Services,14.04,0.0,40.99,,-4.37,14.31,-7.0,-18.68,0.98,10.36,26.79,3.58,9.26,13.58,161.41,2.26,6.85,-0.96,2.14,-0.1,10.39,4.35,2.61,3.47,9.11,-1.81,2.28,77.58,41.12,386660000.0
4058,"Toyokumo, Inc.",Technology,258.9,1.21,19.35,,7.44,4.9,2.97,2.49,5.1,7.8,5.16,2.98,2.51,5.31,3.37,33.06,36.94,35.95,33.01,54.42,29.24,25.66,27.0,,27.61,28.18,26.14,,95.8,4407000000.0
4059,"Magmag, Inc.",Communication Services,11.74,0.0,53.91,,6.99,-0.22,-13.02,-21.4,-2.08,8.58,0.7,1.7,-0.52,3.66,338.5,4.61,1.23,-16.6,1.62,-3.54,-4.31,-16.96,2.24,,0.7,-8.88,0.35,,64.7,928339000.0
4060,rakumo Inc.,Technology,71.16,1.18,29.44,,5.57,5.59,4.12,3.19,5.09,7.18,6.51,4.94,3.86,6.21,17.75,23.39,26.57,23.47,21.18,26.78,11.42,18.11,8.77,21.19,12.1,10.69,16.07,63.19,70.44,1818791000.0
4061,Denka Company Limited,Basic Materials,2794.59,3.04,17.81,,-11.27,-14.75,-3.01,-11.05,-9.68,12.94,6.66,12.98,3.2,10.86,210.55,6.83,3.6,3.44,7.93,-4.0,2.82,-4.49,2.6,2.78,2.8,2.3,6.2,58.61,24.53,35270000000.0
