証券コード,企業名,業種,時価総額（億円）,配当利回り(%),PER,過去3年EPS年平均増減率(%),最新年度真FCF利回り(%),1年前真FCF利回り(%),2年前真FCF利回り(%),3年前真FCF利回り(%),3年間平均真FCF利回り(%),最新年度営業CF利回り(%),1年前営業CF利回り(%),2年前営業CF利回り(%),3年前営業CF利回り(%),3年間平均営業CF利回り(%),3年間平均CF設備投資率(%),最新年度営業利益率(%),1年前営業利益率(%),2年前営業利益率(%),3年前営業利益率(%),最新年度売上高増加率(%),1年前売上高増加率(%),2年前売上高増加率(%),ROIC(%),参考ROIC（現預金控除後）(%),1年前ROIC(%),2年前ROIC(%),3年前ROIC(%),自己資本比率(%),粗利率(%),現預金等（円）
1417,MIRAIT ONE Corporation,Industrials,3077.58,2.71,13.51,,4.23,3.34,8.17,-0.82,5.25,7.82,5.86,10.93,1.73,8.2,38.07,5.69,4.84,3.44,4.51,4.11,11.62,7.11,5.62,6.78,4.78,3.19,4.78,75.98,15.44,67995000000.0
1418,"Interlife Holdings Co., Ltd.",Industrials,88.93,5.21,10.88,,24.61,4.27,-7.32,1.34,7.19,25.06,5.45,-7.0,1.82,7.84,6.33,7.14,5.17,2.14,1.47,-3.57,34.17,10.17,12.92,22.7,12.15,3.98,2.73,76.7,22.29,2640097000.0
1419,"Tama Home Co., Ltd.",Consumer Cyclical,845.58,4.56,69.58,,-0.13,0.61,7.44,4.26,2.64,1.1,2.66,9.8,7.55,4.52,70.92,1.94,2.05,5.08,5.18,-1.53,-18.94,-3.25,4.78,9.07,4.12,18.27,16.53,66.3,24.23,21176000000.0
141A,"TRIAL Holdings, Inc.",Consumer Defensive,4812.68,0.43,138.03,,-8.3,7.66,0.35,1.95,-0.1,-0.92,12.36,3.83,4.64,5.09,-223.24,2.63,2.67,2.14,2.02,11.96,9.93,9.67,7.88,14.05,9.2,9.84,9.2,25.41,20.51,72325000000.0
1420,Sanyo Homes Corporation,Consumer Cyclical,78.25,3.97,5.14,,-20.69,-31.39,44.98,31.29,-2.37,-19.65,-30.31,45.21,32.66,-1.58,-2.78,4.32,2.1,2.08,-0.37,10.95,-0.75,11.93,4.24,5.9,1.76,2.11,-0.37,43.79,21.3,10255257000.0
1429,"Nippon Aqua Co., Ltd.",Industrials,255.35,4.45,13.36,,3.94,-2.84,14.5,-2.3,5.2,5.92,-2.02,15.75,-1.17,6.55,0.28,8.24,8.51,10.17,9.07,11.25,6.79,10.41,11.45,13.42,12.11,16.91,10.92,69.26,22.98,2415160000.0
142A,"JINJIB Co., Ltd.",Industrials,24.14,0.0,13.22,,8.82,-6.07,17.56,12.62,6.77,12.5,-5.32,20.68,12.85,9.29,10.12,6.18,2.61,13.08,4.86,11.99,15.23,37.26,20.54,,-20.24,18.05,6.73,54.1,86.26,1684224000.0
1430,First-corporation Inc.,Consumer Cyclical,122.42,5.0,6.5,,-80.94,16.74,-13.15,-3.2,-25.78,-80.91,17.11,-12.86,-2.47,-25.55,-0.05,7.95,5.97,5.1,7.77,-15.69,51.64,11.52,8.59,9.67,12.08,7.35,11.53,47.26,12.89,2624627000.0
1431,"Lib Work Co.,Ltd.",Real Estate,151.93,0.98,147.74,,6.17,5.01,-12.43,-0.87,-0.42,9.12,7.26,-10.27,0.91,2.04,14.1,5.21,3.21,2.11,4.84,3.69,8.83,3.07,5.79,10.67,3.53,2.63,8.3,44.51,27.43,3897392000.0
1433,"Besterra Co., Ltd.",Industrials,105.48,3.32,14.61,,15.51,-6.05,-13.68,-3.52,-1.41,15.59,-5.76,-13.48,-3.36,-1.22,-2.01,6.65,3.43,2.63,-3.95,2.23,15.99,72.11,9.08,11.95,2.68,1.67,-2.12,46.09,20.09,1434387000.0
1434,"Jesco Holdings, Inc.",Industrials,110.5,3.07,7.22,,8.11,-7.71,-21.75,6.31,-7.12,8.11,-7.71,-21.75,6.31,-7.12,0.0,9.03,7.72,3.83,7.48,28.8,33.32,6.97,8.25,10.79,5.49,2.66,6.44,56.82,16.47,3059019000.0
1435,"Robot Home, Inc.",Real Estate,,1.17,7.58,,,,,,,,,,,,,7.34,7.93,8.68,11.91,82.92,52.55,59.1,16.33,40.94,8.96,8.13,9.15,68.99,23.46,7505020000.0
1436,GreenEnergy & Company Inc.,Industrials,218.53,0.66,45.59,,2.87,-5.08,2.1,1.57,-0.04,6.04,-4.4,2.61,1.75,1.42,18.83,6.49,4.68,5.32,5.99,58.03,20.06,9.28,6.24,7.77,4.55,3.47,3.99,38.72,21.21,2294244000.0
1438,"Gifu landscape architect Co., Ltd.",Industrials,73.62,1.74,14.74,,3.9,8.63,2.47,-2.66,5.0,4.31,9.72,2.78,4.2,5.6,10.67,8.58,8.6,7.8,7.91,20.63,3.93,3.1,8.64,21.53,8.25,7.81,7.3,95.16,28.7,2631424000.0
143A,"Ishin Co., Ltd.",Communication Services,14.03,0.0,302.5,,-9.05,7.24,15.88,6.33,4.69,-5.94,7.28,16.09,7.56,5.81,-16.85,3.5,17.59,15.7,8.31,2.54,8.86,11.51,-36.6,,11.85,13.06,14.41,,73.22,1266800000.0
1443,"Giken Holdings Co., Ltd.",Industrials,44.64,0.41,7.28,,20.81,8.03,20.89,14.98,16.58,20.81,8.03,20.89,14.98,16.58,0.0,15.01,12.72,10.24,7.56,-4.71,-5.09,-5.66,2.92,3.27,2.87,2.34,1.93,82.5,27.72,1694230000.0
