コード,銘柄名,市場・商品区分,__code
3861,王子ホールディングス,プライム（内国株式）,3861
3863,日本製紙,プライム（内国株式）,3863
3864,三菱製紙,プライム（内国株式）,3864
3865,北越コーポレーション,プライム（内国株式）,3865
386A,みのや,スタンダード（内国株式）,386A
3877,中越パルプ工業,プライム（内国株式）,3877
3878,巴川コーポレーション,スタンダード（内国株式）,3878
387A,フラー,グロース（内国株式）,387A
3880,大王製紙,プライム（内国株式）,3880
3891,ニッポン高度紙工業,スタンダード（内国株式）,3891
3892,岡山製紙,スタンダード（内国株式）,3892
3895,ハビックス,スタンダード（内国株式）,3895
3896,阿波製紙,スタンダード（内国株式）,3896
3900,クラウドワークス,グロース（内国株式）,3900
3901,マークラインズ,プライム（内国株式）,3901
3903,ｇｕｍｉ,プライム（内国株式）,3903
3904,カヤック,グロース（内国株式）,3904
3905,データセクション,グロース（内国株式）,3905
3907,シリコンスタジオ,スタンダード（内国株式）,3907
3908,コラボス,スタンダード（内国株式）,3908
3909,ショーケース,スタンダード（内国株式）,3909
3910,エムケイシステム,スタンダード（内国株式）,3910
3911,Ａｉｍｉｎｇ,グロース（内国株式）,3911
3912,モバイルファクトリー,スタンダード（内国株式）,3912
3913,ＧｒｅｅｎＢｅｅ,スタンダード（内国株式）,3913
3914,ＪＩＧ－ＳＡＷ,グロース（内国株式）,3914
3915,テラスカイ,プライム（内国株式）,3915
3916,デジタル・インフォメーション・テクノロジー,プライム（内国株式）,3916
3917,アイリッジ,グロース（内国株式）,3917
3918,ＰＣＩホールディングス,スタンダード（内国株式）,3918
3920,アイビーシー,スタンダード（内国株式）,3920
3921,ネオジャパン,プライム（内国株式）,3921
3922,ＰＲ　ＴＩＭＥＳ,プライム（内国株式）,3922
3923,ラクス,プライム（内国株式）,3923
3925,ダブルスタンダード,プライム（内国株式）,3925
3926,オープンドア,スタンダード（内国株式）,3926
3927,フーバーブレイン,スタンダード（内国株式）,3927
3928,マイネット,スタンダード（内国株式）,3928
3929,ソーシャルワイヤー,グロース（内国株式）,3929
3930,はてな,グロース（内国株式）,3930
3931,バリューゴルフ,グロース（内国株式）,3931
3932,アカツキ,プライム（内国株式）,3932
3933,チエル,スタンダード（内国株式）,3933
3934,ベネフィットジャパン,スタンダード（内国株式）,3934
3935,エディア,スタンダード（内国株式）,3935
3936,グローバルウェイ,グロース（内国株式）,3936
3937,Ｕｂｉｃｏｍホールディングス,スタンダード（内国株式）,3937
3939,カナミックネットワーク,プライム（内国株式）,3939
3940,ノムラシステムコーポレーション,スタンダード（内国株式）,3940
3941,レンゴー,プライム（内国株式）,3941
3943,大石産業,スタンダード（内国株式）,3943
3944,古林紙工,スタンダード（内国株式）,3944
3945,スーパーバッグ,スタンダード（内国株式）,3945
3946,トーモク,プライム（内国株式）,3946
3947,ダイナパック,スタンダード（内国株式）,3947
3948,光ビジネスフォーム,スタンダード（内国株式）,3948
3950,ザ・パック,プライム（内国株式）,3950
3951,朝日印刷,スタンダード（内国株式）,3951
3953,大村紙業,スタンダード（内国株式）,3953
3954,昭和パックス,スタンダード（内国株式）,3954
3955,イムラ,スタンダード（内国株式）,3955
3958,笹徳印刷,スタンダード（内国株式）,3958
3962,チェンジホールディングス,プライム（内国株式）,3962
3963,シンクロ・フード,プライム（内国株式）,3963
3964,オークネット,プライム（内国株式）,3964
3965,キャピタル・アセット・プランニング,スタンダード（内国株式）,3965
3967,エルテス,グロース（内国株式）,3967
3968,セグエグループ,プライム（内国株式）,3968
3969,エイトレッド,スタンダード（内国株式）,3969
3970,イノベーション,スタンダード（内国株式）,3970
3974,ＳＣＡＴ,スタンダード（内国株式）,3974
3976,シャノン,グロース（内国株式）,3976
3979,うるる,グロース（内国株式）,3979
3981,ビーグリー,スタンダード（内国株式）,3981
3983,オロ,プライム（内国株式）,3983
3984,ユーザーローカル,プライム（内国株式）,3984
3985,テモナ,スタンダード（内国株式）,3985
3986,ビーブレイクシステムズ,スタンダード（内国株式）,3986
3987,エコモット,グロース（内国株式）,3987
3988,ＳＹＳホールディングス,スタンダード（内国株式）,3988
3989,シェアリングテクノロジー,グロース（内国株式）,3989
3991,ウォンテッドリー,グロース（内国株式）,3991
3992,ニーズウェル,プライム（内国株式）,3992
3993,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,プライム（内国株式）,3993
3994,マネーフォワード,プライム（内国株式）,3994
3996,サインポスト,スタンダード（内国株式）,3996
3997,トレードワークス,スタンダード（内国株式）,3997
3998,すららネット,グロース（内国株式）,3998
4004,レゾナック・ホールディングス,プライム（内国株式）,4004
4005,住友化学,プライム（内国株式）,4005
4008,住友精化,プライム（内国株式）,4008
4011,ヘッドウォータース,グロース（内国株式）,4011
4012,アクシス,スタンダード（内国株式）,4012
4013,勤次郎,グロース（内国株式）,4013
4014,カラダノート,グロース（内国株式）,4014
4015,ペイクラウドホールディングス,グロース（内国株式）,4015
4016,ＭＩＴホールディングス,スタンダード（内国株式）,4016
4017,クリーマ,グロース（内国株式）,4017
4019,スタメン,グロース（内国株式）,4019
4020,ビートレンド,グロース（内国株式）,4020
4021,日産化学,プライム（内国株式）,4021
4022,ラサ工業,プライム（内国株式）,4022
4023,クレハ,プライム（内国株式）,4023
4025,多木化学,プライム（内国株式）,4025
4026,神島化学工業,スタンダード（内国株式）,4026
4027,テイカ,プライム（内国株式）,4027
4028,石原産業,プライム（内国株式）,4028
402A,アクセルスペースホールディングス,グロース（内国株式）,402A
4031,片倉コープアグリ,スタンダード（内国株式）,4031
4040,南海化学,スタンダード（内国株式）,4040
4041,日本曹達,プライム（内国株式）,4041
4042,東ソー,プライム（内国株式）,4042
4043,トクヤマ,プライム（内国株式）,4043
4044,セントラル硝子,プライム（内国株式）,4044
4045,東亞合成,プライム（内国株式）,4045
4046,大阪ソーダ,プライム（内国株式）,4046
4047,関東電化工業,プライム（内国株式）,4047
4051,ＧＭＯフィナンシャルゲート,プライム（内国株式）,4051
4052,フィーチャ,グロース（内国株式）,4052
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,プライム（内国株式）,4053
4054,日本情報クリエイト,グロース（内国株式）,4054
4055,ティアンドエスグループ,グロース（内国株式）,4055
4056,ニューラルグループ,グロース（内国株式）,4056
4057,インターファクトリー,グロース（内国株式）,4057
4058,トヨクモ,グロース（内国株式）,4058
4059,まぐまぐ,スタンダード（内国株式）,4059
4060,ｒａｋｕｍｏ,グロース（内国株式）,4060
4061,デンカ,プライム（内国株式）,4061
4062,イビデン,プライム（内国株式）,4062
4063,信越化学工業,プライム（内国株式）,4063
4064,日本カーバイド工業,プライム（内国株式）,4064
4068,ベイシス,グロース（内国株式）,4068
4069,ＢｌｕｅＭｅｍｅ,グロース（内国株式）,4069
4071,プラスアルファ・コンサルティング,プライム（内国株式）,4071
4072,電算システムホールディングス,プライム（内国株式）,4072
4073,ジィ・シィ企画,グロース（内国株式）,4073
4074,ラキール,グロース（内国株式）,4074
4075,ブレインズテクノロジー,グロース（内国株式）,4075
4076,シイエヌエス,グロース（内国株式）,4076
4078,堺化学工業,プライム（内国株式）,4078
407A,ＵＮＩＣＯＮホールディングス,スタンダード（内国株式）,407A
4082,第一稀元素化学工業,プライム（内国株式）,4082
4088,エア・ウォーター,プライム（内国株式）,4088
4091,日本酸素ホールディングス,プライム（内国株式）,4091
4092,日本化学工業,プライム（内国株式）,4092
4093,東邦アセチレン,スタンダード（内国株式）,4093
4094,日本化学産業,スタンダード（内国株式）,4094
4095,日本パーカライジング,プライム（内国株式）,4095
4097,高圧ガス工業,プライム（内国株式）,4097
4098,チタン工業,スタンダード（内国株式）,4098
4099,四国化成ホールディングス,プライム（内国株式）,4099
409A,オリオンビール,プライム（内国株式）,409A
4100,戸田工業,スタンダード（内国株式）,4100
4102,丸尾カルシウム,スタンダード（内国株式）,4102
4107,伊勢化学工業,スタンダード（内国株式）,4107
4109,ステラ　ケミファ,プライム（内国株式）,4109
410A,ＧＭＯコマース,グロース（内国株式）,410A
4112,保土谷化学工業,プライム（内国株式）,4112
4113,田岡化学工業,スタンダード（内国株式）,4113
4114,日本触媒,プライム（内国株式）,4114
4116,大日精化工業,プライム（内国株式）,4116
4118,カネカ,プライム（内国株式）,4118
4119,日本ピグメントホールディングス,スタンダード（内国株式）,4119
4120,スガイ化学工業,スタンダード（内国株式）,4120
4124,大阪油化工業,スタンダード（内国株式）,4124
4125,三和油化工業,スタンダード（内国株式）,4125
414A,オーバーラップホールディングス,グロース（内国株式）,414A
4151,協和キリン,プライム（内国株式）,4151
415A,ＧＭＯ　ＴＥＣＨホールディングス,グロース（内国株式）,415A
4165,プレイド,グロース（内国株式）,4165
4166,かっこ,グロース（内国株式）,4166
4167,ココペリ,グロース（内国株式）,4167
4168,ヤプリ,グロース（内国株式）,4168
4169,ＥＮＥＣＨＡＮＧＥ,グロース（内国株式）,4169
416A,富士ユナイトホールディングス,スタンダード（内国株式）,416A
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,グロース（内国株式）,4170
4172,Ｈｉクラテス,スタンダード（内国株式）,4172
4174,アピリッツ,スタンダード（内国株式）,4174
4175,ｃｏｌｙ,グロース（内国株式）,4175
4176,ココナラ,グロース（内国株式）,4176
4177,ｉ‐ｐｌｕｇ,グロース（内国株式）,4177
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,グロース（内国株式）,4178
4179,ジーネクスト,グロース（内国株式）,4179
417A,ブルーゾーンホールディングス,プライム（内国株式）,417A
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム（内国株式）,4180
4182,三菱瓦斯化学,プライム（内国株式）,4182
4183,三井化学,プライム（内国株式）,4183
4186,東京応化工業,プライム（内国株式）,4186
4187,大阪有機化学工業,プライム（内国株式）,4187
4188,三菱ケミカルグループ,プライム（内国株式）,4188
4189,ＫＨネオケム,プライム（内国株式）,4189
4192,スパイダープラス,グロース（内国株式）,4192
4193,ファブリカホールディングス,スタンダード（内国株式）,4193
4194,ビジョナル,プライム（内国株式）,4194
4196,ネオマーケティング,スタンダード（内国株式）,4196
4197,アスマーク,スタンダード（内国株式）,4197
4198,テンダ,スタンダード（内国株式）,4198
4199,ワンダープラネット,グロース（内国株式）,4199
4202,ダイセル,プライム（内国株式）,4202
4203,住友ベークライト,プライム（内国株式）,4203
4204,積水化学工業,プライム（内国株式）,4204
4205,日本ゼオン,プライム（内国株式）,4205
4206,アイカ工業,プライム（内国株式）,4206
4208,ＵＢＥ,プライム（内国株式）,4208
4212,積水樹脂,プライム（内国株式）,4212
4216,旭有機材,プライム（内国株式）,4216
4218,ニチバン,プライム（内国株式）,4218
421A,ムービン・ストラテジック・キャリア,グロース（内国株式）,421A
4220,リケンテクノス,プライム（内国株式）,4220
4221,大倉工業,プライム（内国株式）,4221
4222,児玉化学工業,スタンダード（内国株式）,4222
4224,ロンシール工業,スタンダード（内国株式）,4224
4228,積水化成品工業,プライム（内国株式）,4228
4229,群栄化学工業,プライム（内国株式）,4229
4231,タイガースポリマー,スタンダード（内国株式）,4231
4234,サンエー化研,スタンダード（内国株式）,4234
4235,ウルトラファブリックス・ホールディングス,スタンダード（内国株式）,4235
4237,フジプレアム,スタンダード（内国株式）,4237
4238,ミライアル,スタンダード（内国株式）,4238
423A,ライオン事務器,スタンダード（内国株式）,423A
4240,クラスターテクノロジー,スタンダード（内国株式）,4240
4241,アテクト,スタンダード（内国株式）,4241
4242,タカギセイコー,スタンダード（内国株式）,4242
4243,ニックス,スタンダード（内国株式）,4243
4245,ダイキアクシス,スタンダード（内国株式）,4245
4246,ダイキョーニシカワ,プライム（内国株式）,4246
4247,ポバール興業,スタンダード（内国株式）,4247
4248,竹本容器,スタンダード（内国株式）,4248
4249,森六,プライム（内国株式）,4249
4251,恵和,プライム（内国株式）,4251
4255,ＴＨＥＣＯＯ,グロース（内国株式）,4255
4256,サインド,グロース（内国株式）,4256
4258,網屋,グロース（内国株式）,4258
4259,エクサウィザーズ,グロース（内国株式）,4259
4260,ハイブリッドテクノロジーズ,グロース（内国株式）,4260
4261,アジアクエスト,グロース（内国株式）,4261
4262,ニフティライフスタイル,グロース（内国株式）,4262
4263,サスメド,グロース（内国株式）,4263
4264,セキュア,グロース（内国株式）,4264
4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,グロース（内国株式）,4265
4270,ＢｅｅＸ,グロース（内国株式）,4270
4272,日本化薬,プライム（内国株式）,4272
4274,細谷火工,スタンダード（内国株式）,4274
4275,カーリット,プライム（内国株式）,4275
4284,ソルクシーズ,スタンダード（内国株式）,4284
4286,ＣＬホールディングス,スタンダード（内国株式）,4286
4287,ジャストプランニング,スタンダード（内国株式）,4287
4288,アズジェント,スタンダード（内国株式）,4288
428A,サイプレス・ホールディングス,スタンダード（内国株式）,428A
4290,プレステージ・インターナショナル,プライム（内国株式）,4290
4293,セプテーニ・ホールディングス,スタンダード（内国株式）,4293
4299,ハイマックス,スタンダード（内国株式）,4299
429A,テクセンドフォトマスク,プライム（内国株式）,429A
4301,アミューズ,プライム（内国株式）,4301
4307,野村総合研究所,プライム（内国株式）,4307
4308,Ｊストリーム,グロース（内国株式）,4308
4310,ドリームインキュベータ,プライム（内国株式）,4310
4316,ビーマップ,グロース（内国株式）,4316
4317,レイ,スタンダード（内国株式）,4317
4318,クイック,プライム（内国株式）,4318
431A,ユーソナー,グロース（内国株式）,431A
4320,ＣＥホールディングス,スタンダード（内国株式）,4320
4323,日本システム技術,プライム（内国株式）,4323
4324,電通グループ,プライム（内国株式）,4324
4326,インテージホールディングス,プライム（内国株式）,4326
4331,テイクアンドギヴ・ニーズ,プライム（内国株式）,4331
4334,ユークス,スタンダード（内国株式）,4334
4335,ＩＰＳホールディングス,スタンダード（内国株式）,4335
4337,ぴあ,プライム（内国株式）,4337
4341,西菱電機,スタンダード（内国株式）,4341
4343,イオンファンタジー,プライム（内国株式）,4343
4344,ソースネクスト,プライム（内国株式）,4344
4345,シーティーエス,プライム（内国株式）,4345
4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,スタンダード（内国株式）,4346
4347,ブロードメディア,スタンダード（内国株式）,4347
4350,メディカルシステムネットワーク,スタンダード（内国株式）,4350
4351,山田再生系債権回収総合事務所,スタンダード（内国株式）,4351
4356,応用技術,スタンダード（内国株式）,4356
4360,マナック・ケミカル・パートナーズ,スタンダード（内国株式）,4360
4361,川口化学工業,スタンダード（内国株式）,4361
4362,日本精化,プライム（内国株式）,4362
4365,松本油脂製薬,スタンダード（内国株式）,4365
4366,ダイトーケミックス,スタンダード（内国株式）,4366
4368,扶桑化学工業,プライム（内国株式）,4368
4369,トリケミカル研究所,プライム（内国株式）,4369
436A,サイバーソリューションズ,グロース（内国株式）,436A
4370,モビルス,グロース（内国株式）,4370
4371,コアコンセプト・テクノロジー,グロース（内国株式）,4371
4372,ユミルリンク,グロース（内国株式）,4372
4373,シンプレクス・ホールディングス,プライム（内国株式）,4373
4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,グロース（内国株式）,4374
4375,セーフィー,グロース（内国株式）,4375
4376,くふうカンパニーホールディングス,グロース（内国株式）,4376
4377,ワンキャリア,グロース（内国株式）,4377
4378,ＣＩＮＣ,グロース（内国株式）,4378
4379,Ｐｈｏｔｏｓｙｎｔｈ,グロース（内国株式）,4379
4380,Ｍマート,グロース（内国株式）,4380
4381,ビープラッツ,グロース（内国株式）,4381
4382,ＨＥＲＯＺ,スタンダード（内国株式）,4382
4385,メルカリ,プライム（内国株式）,4385
4386,ＳＩＧグループ,スタンダード（内国株式）,4386
4387,ＺＵＵ,グロース（内国株式）,4387
4388,エーアイ,スタンダード（内国株式）,4388
4389,プロパティデータバンク,グロース（内国株式）,4389
438A,インフキュリオン,グロース（内国株式）,438A
4390,ＩＰＳ,プライム（内国株式）,4390
4391,ロジザード,グロース（内国株式）,4391
4392,ＦＩＧ,プライム（内国株式）,4392
4393,バンク・オブ・イノベーション,グロース（内国株式）,4393
4394,エクスモーション,グロース（内国株式）,4394
4395,アクリート,グロース（内国株式）,4395
4396,システムサポートホールディングス,プライム（内国株式）,4396
4397,チームスピリット,グロース（内国株式）,4397
4398,ブロードバンドセキュリティ,スタンダード（内国株式）,4398
4401,ＡＤＥＫＡ,プライム（内国株式）,4401
4403,日油,プライム（内国株式）,4403
4404,ミヨシ油脂,スタンダード（内国株式）,4404
4406,新日本理化,スタンダード（内国株式）,4406
4409,東邦化学工業,スタンダード（内国株式）,4409
4410,ハリマ化成グループ,プライム（内国株式）,4410
4412,サイエンスアーツ,グロース（内国株式）,4412
4413,ボードルア,プライム（内国株式）,4413
4414,フレクト,グロース（内国株式）,4414
4415,ブロードエンタープライズ,グロース（内国株式）,4415
4416,Ｔｒｕｅ　Ｄａｔａ,グロース（内国株式）,4416
4417,グローバルセキュリティエキスパート,グロース（内国株式）,4417
4418,ＪＤＳＣ,グロース（内国株式）,4418
4419,Ｆｉｎａｔｅｘｔホールディングス,グロース（内国株式）,4419
441A,ＮＥ,グロース（内国株式）,441A
4420,イーソル,スタンダード（内国株式）,4420
4421,ディ・アイ・システム,スタンダード（内国株式）,4421
4422,ＶＡＬＵＥＮＥＸ,グロース（内国株式）,4422
4424,Ａｍａｚｉａ,グロース（内国株式）,4424
4425,Ｋｕｄａｎ,グロース（内国株式）,4425
4427,ＥｄｕＬａｂ,グロース（内国株式）,4427
4428,シノプス,グロース（内国株式）,4428
4429,リックソフト,グロース（内国株式）,4429
442A,クラシコ,グロース（内国株式）,442A
4430,東海ソフト,スタンダード（内国株式）,4430
4431,スマレジ,グロース（内国株式）,4431
4432,ウイングアーク１ｓｔ,プライム（内国株式）,4432
4433,ヒト・コミュニケーションズ・ホールディングス,プライム（内国株式）,4433
4434,サーバーワークス,スタンダード（内国株式）,4434
4436,ミンカブ・ジ・インフォノイド,グロース（内国株式）,4436
4437,ｇｏｏｄｄａｙｓホールディングス,グロース（内国株式）,4437
4438,Ｗｅｌｂｙ,グロース（内国株式）,4438
4439,東名,スタンダード（内国株式）,4439
4440,ヴィッツ,スタンダード（内国株式）,4440
4441,トビラシステムズ,スタンダード（内国株式）,4441
4442,バルテス・ホールディングス,グロース（内国株式）,4442
4443,Ｓａｎｓａｎ,プライム（内国株式）,4443
4444,インフォネット,グロース（内国株式）,4444
4445,リビン・テクノロジーズ,グロース（内国株式）,4445
4446,Ｌｉｎｋ－Ｕグループ,スタンダード（内国株式）,4446
4447,ピー・ビーシステムズ,グロース（内国株式）,4447
4448,ｋｕｂｅｌｌ,グロース（内国株式）,4448
4450,パワーソリューションズ,グロース（内国株式）,4450
4452,花王,プライム（内国株式）,4452
4461,第一工業製薬,プライム（内国株式）,4461
4462,石原ケミカル,プライム（内国株式）,4462
4463,日華化学,スタンダード（内国株式）,4463
4464,ソフト９９コーポレーション,スタンダード（内国株式）,4464
4465,ニイタカ,スタンダード（内国株式）,4465
446A,ノースサンド,グロース（内国株式）,446A
4471,三洋化成工業,プライム（内国株式）,4471
4475,ＨＥＮＮＧＥ,グロース（内国株式）,4475
4476,ＡＩ　ＣＲＯＳＳ,グロース（内国株式）,4476
4477,ＢＡＳＥ,グロース（内国株式）,4477
4478,フリー,グロース（内国株式）,4478
4479,マクアケ,グロース（内国株式）,4479
4480,メドレー,プライム（内国株式）,4480
4481,ベース,プライム（内国株式）,4481
4482,ウィルズ,グロース（内国株式）,4482
4483,ＪＭＤＣ,プライム（内国株式）,4483
4484,ランサーズ,グロース（内国株式）,4484
4486,ユナイトアンドグロウ,グロース（内国株式）,4486
4487,スペースマーケット,グロース（内国株式）,4487
4488,ＡＩ　ｉｎｓｉｄｅ,グロース（内国株式）,4488
4490,ビザスク,グロース（内国株式）,4490
4491,コンピューターマネージメント,スタンダード（内国株式）,4491
4492,ゼネテック,スタンダード（内国株式）,4492
4493,サイバーセキュリティクラウド,グロース（内国株式）,4493
4495,アイキューブドシステムズ,グロース（内国株式）,4495
4496,コマースＯｎｅホールディングス,グロース（内国株式）,4496
4498,サイバートラスト,グロース（内国株式）,4498
4499,Ｓｐｅｅｅ,スタンダード（内国株式）,4499
4502,武田薬品工業,プライム（内国株式）,4502
4503,アステラス製薬,プライム（内国株式）,4503
4506,住友ファーマ,プライム（内国株式）,4506
4507,塩野義製薬,プライム（内国株式）,4507
4512,わかもと製薬,スタンダード（内国株式）,4512
4516,日本新薬,プライム（内国株式）,4516
4519,中外製薬,プライム（内国株式）,4519
4521,科研製薬,プライム（内国株式）,4521
4523,エーザイ,プライム（内国株式）,4523
4524,森下仁丹,スタンダード（内国株式）,4524
4526,理研ビタミン,プライム（内国株式）,4526
4527,ロート製薬,プライム（内国株式）,4527
4528,小野薬品工業,プライム（内国株式）,4528
4531,有機合成薬品工業,スタンダード（内国株式）,4531
4534,持田製薬,プライム（内国株式）,4534
4536,参天製薬,プライム（内国株式）,4536
4538,扶桑薬品工業,プライム（内国株式）,4538
4539,日本ケミファ,スタンダード（内国株式）,4539
4540,ツムラ,プライム（内国株式）,4540
4543,テルモ,プライム（内国株式）,4543
4544,Ｈ．Ｕ．グループホールディングス,プライム（内国株式）,4544
4547,キッセイ薬品工業,プライム（内国株式）,4547
4548,生化学工業,プライム（内国株式）,4548
4549,栄研化学,プライム（内国株式）,4549
4552,ＪＣＲファーマ,プライム（内国株式）,4552
4553,東和薬品,プライム（内国株式）,4553
4554,富士製薬工業,プライム（内国株式）,4554
4558,中京医薬品,スタンダード（内国株式）,4558
4559,ゼリア新薬工業,プライム（内国株式）,4559
4563,アンジェス,グロース（内国株式）,4563
4564,オンコセラピー・サイエンス,グロース（内国株式）,4564
4565,ネクセラファーマ,プライム（内国株式）,4565
4568,第一三共,プライム（内国株式）,4568
4569,杏林製薬,プライム（内国株式）,4569
456A,ＨＵＭＡＮ　ＭＡＤＥ,グロース（内国株式）,456A
4570,免疫生物研究所,グロース（内国株式）,4570
4571,ＮＡＮＯホールディングス,グロース（内国株式）,4571
4572,カルナバイオサイエンス,グロース（内国株式）,4572
4574,大幸薬品,プライム（内国株式）,4574
4575,キャンバス,グロース（内国株式）,4575
4576,デ・ウエスタン・セラピテクス研究所,グロース（内国株式）,4576
4577,ダイト,プライム（内国株式）,4577
4578,大塚ホールディングス,プライム（内国株式）,4578
4579,ラクオリア創薬,グロース（内国株式）,4579
4582,シンバイオ製薬,グロース（内国株式）,4582
4583,カイオム・バイオサイエンス,グロース（内国株式）,4583
4584,キッズウェル・バイオ,グロース（内国株式）,4584
4586,メドレックス,グロース（内国株式）,4586
4587,ペプチドリーム,プライム（内国株式）,4587
4588,オンコリスバイオファーマ,グロース（内国株式）,4588
4591,リボミック,グロース（内国株式）,4591
4592,サンバイオ,グロース（内国株式）,4592
4593,ヘリオス,グロース（内国株式）,4593
4594,ブライトパス・バイオ,グロース（内国株式）,4594
4595,ミズホメディー,スタンダード（内国株式）,4595
4596,窪田製薬ホールディングス,グロース（内国株式）,4596
4597,ソレイジア・ファーマ,グロース（内国株式）,4597
4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ,グロース（内国株式）,4598
4599,ステムリム,グロース（内国株式）,4599
460A,ＢＲＡＮＵ,グロース（内国株式）,460A
4611,大日本塗料,プライム（内国株式）,4611
4612,日本ペイントホールディングス,プライム（内国株式）,4612
4613,関西ペイント,プライム（内国株式）,4613
4615,神東塗料,スタンダード（内国株式）,4615
4616,川上塗料,スタンダード（内国株式）,4616
4617,中国塗料,プライム（内国株式）,4617
4619,日本特殊塗料,スタンダード（内国株式）,4619
4620,藤倉化成,スタンダード（内国株式）,4620
4623,アサヒペン,スタンダード（内国株式）,4623
4624,イサム塗料,スタンダード（内国株式）,4624
4625,アトミクス,スタンダード（内国株式）,4625
4626,太陽ホールディングス,プライム（内国株式）,4626
4627,ナトコ,スタンダード（内国株式）,4627
4628,エスケー化研,スタンダード（内国株式）,4628
4629,大伸化学,スタンダード（内国株式）,4629
462A,ＦＵＮＤＩＮＮＯ,グロース（内国株式）,462A
4631,ＤＩＣ,プライム（内国株式）,4631
4633,サカタインクス,プライム（内国株式）,4633
4634,ａｒｔｉｅｎｃｅ,プライム（内国株式）,4634
4635,東京インキ,スタンダード（内国株式）,4635
463A,インテリックスホールディングス,スタンダード（内国株式）,463A
4641,アルプス技研,プライム（内国株式）,4641
4642,オリジナル設計,スタンダード（内国株式）,4642
4644,イマジニア,スタンダード（内国株式）,4644
4645,市進ホールディングス,スタンダード（内国株式）,4645
464A,ＱＰＳホールディングス,グロース（内国株式）,464A
4650,ＳＤエンターテイメント,スタンダード（内国株式）,4650
4651,サニックスホールディングス,スタンダード（内国株式）,4651
4657,環境管理センター,スタンダード（内国株式）,4657
4658,日本空調サービス,プライム（内国株式）,4658
4661,オリエンタルランド,プライム（内国株式）,4661
4662,フォーカスシステムズ,プライム（内国株式）,4662
4664,アール・エス・シー,スタンダード（内国株式）,4664
4665,ダスキン,プライム（内国株式）,4665
4666,パーク２４,プライム（内国株式）,4666
4667,アイサンテクノロジー,スタンダード（内国株式）,4667
4668,明光ネットワークジャパン,プライム（内国株式）,4668
4671,ファルコホールディングス,スタンダード（内国株式）,4671
4673,川崎地質,スタンダード（内国株式）,4673
4674,クレスコ,プライム（内国株式）,4674
4676,フジ・メディア・ホールディングス,プライム（内国株式）,4676
4678,秀英予備校,スタンダード（内国株式）,4678
4679,田谷,スタンダード（内国株式）,4679
4680,ラウンドワン,プライム（内国株式）,4680
4681,リゾートトラスト,プライム（内国株式）,4681
4684,オービック,プライム（内国株式）,4684
4685,菱友システムズ,スタンダード（内国株式）,4685
4686,ジャストシステム,プライム（内国株式）,4686
4687,ＴＤＣソフト,プライム（内国株式）,4687
4689,ＬＩＮＥヤフー,プライム（内国株式）,4689
4691,ワシントンホテル,スタンダード（内国株式）,4691
4694,ビー・エム・エル,プライム（内国株式）,4694
469A,フィットクルー,グロース（内国株式）,469A
4704,トレンドマイクロ,プライム（内国株式）,4704
4705,クリップコーポレーション,スタンダード（内国株式）,4705
4707,キタック,スタンダード（内国株式）,4707
4709,ＩＤホールディングス,プライム（内国株式）,4709
4712,ＫｅｙＨｏｌｄｅｒ,スタンダード（内国株式）,4712
4714,リソー教育グループ,プライム（内国株式）,4714
4716,日本オラクル,スタンダード（内国株式）,4716
4718,早稲田アカデミー,プライム（内国株式）,4718
4719,アルファシステムズ,プライム（内国株式）,4719
471A,ＮＳグループ,プライム（内国株式）,471A
4720,城南進学研究社,スタンダード（内国株式）,4720
4722,フューチャー,プライム（内国株式）,4722
4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,4725
4728,トーセ,スタンダード（内国株式）,4728
472A,ミラティブ,グロース（内国株式）,472A
4732,ユー・エス・エス,プライム（内国株式）,4732
4733,オービックビジネスコンサルタント,プライム（内国株式）,4733
4735,京進,スタンダード（内国株式）,4735
4736,日本ラッド,スタンダード（内国株式）,4736
4743,アイティフォー,プライム（内国株式）,4743
4746,東計電算,スタンダード（内国株式）,4746
4750,ダイサン,スタンダード（内国株式）,4750
4751,サイバーエージェント,プライム（内国株式）,4751
4752,昭和システムエンジニアリング,スタンダード（内国株式）,4752
4754,トスネット,スタンダード（内国株式）,4754
4755,楽天グループ,プライム（内国株式）,4755
475A,ギミック,スタンダード（内国株式）,475A
4760,アルファ,スタンダード（内国株式）,4760
4761,さくらケーシーエス,スタンダード（内国株式）,4761
4762,エックスネット,スタンダード（内国株式）,4762
4763,クリーク・アンド・リバー社,プライム（内国株式）,4763
4765,ＳＢＩグローバルアセットマネジメント,プライム（内国株式）,4765
4766,ピーエイ,スタンダード（内国株式）,4766
4767,テー・オー・ダブリュー,スタンダード（内国株式）,4767
