コード,銘柄名,市場・商品区分,__code
1871,ピーエス・コンストラクション,プライム（内国株式）,1871
1873,日本ハウスホールディングス,プライム（内国株式）,1873
1878,大東建託,プライム（内国株式）,1878
1879,新日本建設,プライム（内国株式）,1879
1882,東亜道路工業,プライム（内国株式）,1882
1885,東亜建設工業,プライム（内国株式）,1885
1887,日本国土開発,プライム（内国株式）,1887
1888,若築建設,プライム（内国株式）,1888
1893,五洋建設,プライム（内国株式）,1893
1897,金下建設,スタンダード（内国株式）,1897
1898,世紀東急工業,プライム（内国株式）,1898
1899,福田組,プライム（内国株式）,1899
189A,Ｄ＆Ｍカンパニー,グロース（内国株式）,189A
1904,大成温調,スタンダード（内国株式）,1904
1905,テノックス,スタンダード（内国株式）,1905
1909,日本ドライケミカル,スタンダード（内国株式）,1909
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,グロース（内国株式）,190A
1911,住友林業,プライム（内国株式）,1911
1914,日本基礎技術,スタンダード（内国株式）,1914
1921,巴コーポレーション,スタンダード（内国株式）,1921
1925,大和ハウス工業,プライム（内国株式）,1925
1926,ライト工業,プライム（内国株式）,1926
1928,積水ハウス,プライム（内国株式）,1928
1929,日特建設,プライム（内国株式）,1929
192A,インテグループ,グロース（内国株式）,192A
1930,北陸電気工事,プライム（内国株式）,1930
1934,ユアテック,プライム（内国株式）,1934
1938,日本リーテック,プライム（内国株式）,1938
1939,四電工,プライム（内国株式）,1939
1941,中電工,プライム（内国株式）,1941
1942,関電工,プライム（内国株式）,1942
1944,きんでん,プライム（内国株式）,1944
1945,東京エネシス,プライム（内国株式）,1945
1946,トーエネック,プライム（内国株式）,1946
1948,弘電社,スタンダード（内国株式）,1948
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,194A
1950,日本電設工業,プライム（内国株式）,1950
1951,エクシオグループ,プライム（内国株式）,1951
1952,新日本空調,プライム（内国株式）,1952
1959,クラフティア,プライム（内国株式）,1959
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース（内国株式）,195A
1960,サンテック,スタンダード（内国株式）,1960
1961,三機工業,プライム（内国株式）,1961
1963,日揮ホールディングス,プライム（内国株式）,1963
1964,中外炉工業,プライム（内国株式）,1964
1965,テクノ菱和,スタンダード（内国株式）,1965
1966,高田工業所,スタンダード（内国株式）,1966
1967,ヤマト,スタンダード（内国株式）,1967
1968,太平電業,プライム（内国株式）,1968
1969,高砂熱学工業,プライム（内国株式）,1969
196A,ＭＦＳ,グロース（内国株式）,196A
1972,三晃金属工業,スタンダード（内国株式）,1972
1975,朝日工業社,プライム（内国株式）,1975
1976,明星工業,プライム（内国株式）,1976
1979,大氣社,プライム（内国株式）,1979
197A,タウンズ,スタンダード（内国株式）,197A
1980,ダイダン,プライム（内国株式）,1980
1981,協和日成,スタンダード（内国株式）,1981
1982,日比谷総合設備,プライム（内国株式）,1982
198A,ＰｏｓｔＰｒｉｍｅ,グロース（内国株式）,198A
1992,神田通信機,スタンダード（内国株式）,1992
1994,高橋カーテンウォール工業,スタンダード（内国株式）,1994
1997,暁飯島工業,スタンダード（内国株式）,1997
2001,ニップン,プライム（内国株式）,2001
2002,日清製粉グループ本社,プライム（内国株式）,2002
2003,日東富士製粉,スタンダード（内国株式）,2003
2004,昭和産業,プライム（内国株式）,2004
2009,鳥越製粉,スタンダード（内国株式）,2009
2053,中部飼料,プライム（内国株式）,2053
2055,日和産業,スタンダード（内国株式）,2055
205A,ロゴスホールディングス,グロース（内国株式）,205A
2060,フィード・ワン,プライム（内国株式）,2060
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース（内国株式）,206A
208A,構造計画研究所ホールディングス,スタンダード（内国株式）,208A
2108,日本甜菜製糖,プライム（内国株式）,2108
